competition,season,total_matches,matches_with_360,matches_without_360,percent_with_360
FIFA World Cup,2022,64,64,0,100.0
Women's World Cup,2023,64,64,0,100.0
UEFA Euro,2020,51,51,0,100.0
UEFA Euro,2024,51,51,0,100.0
La Liga,2020/2021,35,35,0,100.0
1. Bundesliga,2023/2024,34,34,0,100.0
Ligue 1,2022/2023,32,32,0,100.0
UEFA Women's Euro,2022,31,31,0,100.0
UEFA Women's Euro,2025,31,31,0,100.0
Ligue 1,2021/2022,26,26,0,100.0
Major League Soccer,2023,6,6,0,100.0
African Cup of Nations,2023,52,1,51,1.92
1. Bundesliga,2015/2016,34,0,34,0.0
Champions League,1970/1971,1,0,1,0.0
Champions League,1971/1972,1,0,1,0.0
Champions League,1972/1973,1,0,1,0.0
Champions League,1999/2000,1,0,1,0.0
Champions League,2003/2004,1,0,1,0.0
Champions League,2004/2005,1,0,1,0.0
Champions League,2006/2007,1,0,1,0.0
Champions League,2008/2009,1,0,1,0.0
Champions League,2009/2010,1,0,1,0.0
Champions League,2010/2011,1,0,1,0.0
Champions League,2011/2012,1,0,1,0.0
Champions League,2012/2013,1,0,1,0.0
Champions League,2013/2014,1,0,1,0.0
Champions League,2014/2015,1,0,1,0.0
Champions League,2015/2016,1,0,1,0.0
Champions League,2016/2017,1,0,1,0.0
Champions League,2017/2018,1,0,1,0.0
Champions League,2018/2019,1,0,1,0.0
Copa America,2024,32,0,32,0.0
Copa del Rey,1977/1978,1,0,1,0.0
Copa del Rey,1982/1983,1,0,1,0.0
Copa del Rey,1983/1984,1,0,1,0.0
FA Women's Super League,2018/2019,107,0,107,0.0
FA Women's Super League,2019/2020,87,0,87,0.0
FA Women's Super League,2020/2021,131,0,131,0.0
FA Women's Super League,2023/2024,132,0,132,0.0
FIFA U20 World Cup,1979,1,0,1,0.0
FIFA World Cup,1958,2,0,2,0.0
FIFA World Cup,1962,1,0,1,0.0
FIFA World Cup,1970,6,0,6,0.0
FIFA World Cup,1974,6,0,6,0.0
FIFA World Cup,1986,3,0,3,0.0
FIFA World Cup,1990,1,0,1,0.0
FIFA World Cup,2018,64,0,64,0.0
Frauen Bundesliga,2023/2024,132,0,132,0.0
Indian Super league,2021/2022,115,0,115,0.0
La Liga,1973/1974,1,0,1,0.0
La Liga,2004/2005,7,0,7,0.0
La Liga,2005/2006,17,0,17,0.0
La Liga,2006/2007,26,0,26,0.0
La Liga,2007/2008,27,0,27,0.0
La Liga,2008/2009,31,0,31,0.0
La Liga,2009/2010,35,0,35,0.0
La Liga,2010/2011,33,0,33,0.0
La Liga,2011/2012,37,0,37,0.0
La Liga,2012/2013,32,0,32,0.0
La Liga,2013/2014,31,0,31,0.0
La Liga,2014/2015,38,0,38,0.0
La Liga,2015/2016,380,0,380,0.0
La Liga,2016/2017,34,0,34,0.0
La Liga,2017/2018,36,0,36,0.0
La Liga,2018/2019,34,0,34,0.0
La Liga,2019/2020,33,0,33,0.0
Liga F,2023/2024,240,0,240,0.0
Liga Profesional,1981,1,0,1,0.0
Liga Profesional,1997/1998,1,0,1,0.0
Ligue 1,2015/2016,377,0,377,0.0
NWSL,2018,36,0,36,0.0
NWSL,2023,137,0,137,0.0
North American League,1977,1,0,1,0.0
Premier League,2003/2004,38,0,38,0.0
Premier League,2015/2016,380,0,380,0.0
Serie A,1986/1987,1,0,1,0.0
Serie A,2015/2016,380,0,380,0.0
Serie A Women,2023/2024,130,0,130,0.0
UEFA Europa League,1988/1989,3,0,3,0.0
Women's World Cup,2019,52,0,52,0.0
